-0.199766 -1.785543 -0.518943
-0.199522 -2.215131 -0.470561
-0.199277 -2.425469 -0.410229
-0.199033 -2.373615 -0.337342
-0.198789 -2.056279 -0.250043
-0.198545 -1.514178 -0.145231
-0.198301 -0.826774 -0.019794
-0.198057 -0.097415 0.127246
-0.197813 0.567929 0.292225
-0.197568 1.082692 0.464687
-0.197324 1.396365 0.626448
-0.197080 1.501460 0.752856
-0.196836 1.429582 0.816791
-0.196592 1.238643 0.794902
-0.196348 0.995416 0.674428
-0.196104 0.758287 0.458332
-0.195859 0.564447 0.166871
-0.195615 0.424270 -0.165148
-0.195371 0.323634 -0.494818
-0.195127 0.232932 -0.779651
-0.194883 0.119861 -0.985899
-0.194639 -0.037714 -1.094490
-0.194395 -0.242510 -1.103190
-0.194150 -0.474973 -1.024899
-0.193906 -0.697829 -0.883173
-0.193662 -0.866509 -0.706567
-0.193418 -0.941750 -0.523242
-0.193174 -0.899991 -0.356767
-0.192930 -0.738525 -0.223492
-0.192686 -0.474724 -0.131591
-0.192441 -0.140783 -0.081675
-0.192197 0.223544 -0.068556
-0.191953 0.577897 -0.083336
-0.191709 0.886509 -0.114974
-0.191465 1.121263 -0.150970
-0.191221 1.262985 -0.177489
-0.190977 1.301675 -0.179626
-0.190732 1.236352 -0.142560
-0.190488 1.074989 -0.054059
-0.190244 0.834591 0.091891
-0.190000 0.540898 0.291476
-0.189756 0.226731 0.529312
-0.189512 -0.071820 0.780040
-0.189268 -0.321276 1.013381
-0.189023 -0.497321 1.201135
-0.188779 -0.589835 1.323767
-0.188535 -0.604387 1.374497
-0.188291 -0.559428 1.359799
-0.188047 -0.480185 1.296247
-0.187803 -0.391524 1.204598
-0.187559 -0.312165 1.102889
-0.187315 -0.251801 1.000829
-0.187070 -0.211483 0.897398
-0.186826 -0.186706 0.782415
-0.186582 -0.171903 0.641489
-0.186338 -0.164558 0.462624
-0.186094 -0.167133 0.242163
-0.185850 -0.185864 -0.011929
-0.185606 -0.226880 -0.280346
-0.185361 -0.291414 -0.535989
-0.185117 -0.372281 -0.749747
-0.184873 -0.453302 -0.897155
-0.184629 -0.512113 -0.964282
-0.184385 -0.525445 -0.951267
-0.184141 -0.475181 -0.872480
-0.183897 -0.353319 -0.753262
-0.183652 -0.164486 -0.624161
-0.183408 0.074411 -0.514122
-0.183164 0.337000 -0.444164
-0.182920 0.591761 -0.422803
-0.182676 0.806863 -0.444141
-0.182432 0.954779 -0.489196
-0.182188 1.016190 -0.530481
-0.181943 0.982843 -0.539082
-0.181699 0.858965 -0.492681
-0.181455 0.660782 -0.382570
-0.181211 0.413805 -0.217738
-0.180967 0.148107 -0.024605
